key,de,english,french,ukrainian,italian,swedish,turkish,russian
loginDialogHeader,Anmeldung,DUPLICATE,DUPLICATE,OK,MISSING,MISSING,MISSING,MISSING
loginTabLogin,Login,GERMAN_FALLBACK,OK,DUPLICATE,MISSING,MISSING,MISSING,MISSING
loginTabErrorAnalysis,Fehleranalyse,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
buttonLogin,Login,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
selectApplication,Bitte Anwendung wählen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
labelSelectLanguage,Oberflächensprache wählen : ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
labelUsername,Benutzername : ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
labelPassword,Passwort : ,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
labelNewsAnnouncements,Neuigkeiten / Ankündigungen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
newstext,"In der aktuellen Version ist es im Logindialog möglich, eine Oberflächensprache einzustellen (aktuell nur fürs Rechnungs-programm gültig) und zudem gibt es im Rechnungsprogramm eine separate Möglichkeit eine Sprache für die Rechnung einzustellen. Zudem gibt es einige Anpassungen.",OK,OK,OK,MISSING,MISSING,MISSING,MISSING
date_time,Date/Time:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
user_agent,User agent:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
user_ip,User IP:,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
hostname,Hostname:,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
request_uri,Request URI:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
ajax_request,Ajax request:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
status_code,Status code:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
exception_type,Exception type:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
exception_message,Exception message:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
exception_uuid,Exception UUID:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
stack_trace,Stack trace:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
list_stack_trace,List Stack trace:,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
selectFiliale,Filiale wählen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
logout,Logout,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
selectGesellschaft,Gesellschaft wählen,MISSING,OK,OK,MISSING,MISSING,MISSING,MISSING
loginTabRegister,Registrierung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
buttonLogout,Logout,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
tabWelcome,Willkommen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
welcomeToProgram,Willkommen zum Rechnungsprogramm,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceBranch,Rechnungsfiliale ist,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoiceCommunity,Rechnungsgesellschaft ist,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
break,Abbrechen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
paymentAdvice,Zahlungsavis,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
invoice,Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
proformaInvoice,ProForma-Rechnung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
credit,Gutschrift,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
cancellation,Storno,GERMAN_FALLBACK,OK,OK,MISSING,MISSING,MISSING,MISSING
report,Report,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
administration,Administration,GERMAN_FALLBACK,GERMAN_FALLBACK,OK,MISSING,MISSING,MISSING,MISSING
hideLetterhead,Briefkopf verbergen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
changeApplication,Wechsel der Anwendung,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
showLetterhead,Briefkopf anzeigen,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
tabReceiverInvoice,Empfänger,OK,OK,OK,MISSING,MISSING,MISSING,MISSING
